TAG,FILENAME,DOCUMENTATION,PREREQUISITE,ENVIRONMENT SPECIFIC DATA,REUSABLE DATA,DYNAMIC DATA,TEST CASE NAME
PMPTalentTestCase, "td_TC01_Employee_Self_Evaluation", Performance Document Self Evaluation by Employee, Require a new annual performance document and then assign the performance document.[DC10; TC117 and TC12], Employee Login(PMP_Talent_common_test_data.csv), Comment; FY Year; Rating; Status, Performace Doc(PMP_Talent_common_test_data.csv), TC01_Employee_Self_Evaluation.robot
PMPTalentTestCase, "td_TC02_Manager_Participant_Feedback", Manager adds a Participant feedback for an Employee, TC01_Employee_Self_Evaluation.robot, Manager Login(PMP_Talent_common_test_data.csv); Participants Name; Person Name(PMP_Talent_common_test_data.csv), Action Menu; Due Date, Action, TC02_Manager_Participant_Feedback.robot
PMPTalentTestCase, "td_TC03_Participants_Provide_Feedback", Participant provides feedback, TC02_Manager_Participant_Feedback.robot, Participant Login(PMP_Talent_common_test_data.csv), Comment, Performace Doc(PMP_Talent_common_test_data.csv), TC03_Participants_Provide_Feedback.robot
PMPTalentTestCase, "td_TC04_Manager_views_Participant_Feedback", Manager views Participant Feedback, TC03_Participants_Provide_Feedback.robot, Manager Login(PMP_Talent_common_test_data.csv); Person Name(PMP_Talent_common_test_data.csv), Comment, Performace Doc(PMP_Talent_common_test_data.csv), TC04_Manager_views_Participant_Feedback.robot
PMPTalentTestCase, "td_TC05_Manager_Completes_and_Submits_the_Employee_Evaluation", Manager submites the Employee Evaluation, TC04_Manager_views_Participant_Feedback.robot, Manager Login(PMP_Talent_common_test_data.csv), Comment; Feedback Rating; Feedback Comment; Performance Rating; Performance Comment; Competency Rating; Competency Comment, Performace Doc(PMP_Talent_common_test_data.csv), TC05_Manager_Completes_and_Submits_the_Employee_Evaluation.robot
PMPTalentTestCase, "td_TC06_Total_Rewards_Representative_unlocks_the_Annual_Performance_Review_Document", , , , , , TC06_Total_Rewards_Representative_unlocks_the_Annual_Performance_Review_Document.robot
PMPTalentTestCase, "td_PMP_TC07_Manager_Share_Annual_Performance_Review_Document_with_the_Employee", Manager - Share Annual Performance Review Document with the employee, Annual Performance Review Document for Employee should be available in Share and release status, Manager Login(PMP_Talent_common_test_data.csv), Not Applicable, Review Period; Performace Doc; Manager Name, TC07_Manager_Share_Annual_Performance_Review_Document_with_the_Employee.robot
PMPTalentTestCase, "td_PMP_TC08_Employee_Provide_Final_Feedback_on_Annual_Performance_Review_Document", Employee - Provide Final Feedback on Annual Performance Review Document, Annual Performance Review Document should be available in Acknowledge and Complete Performance Document status, Employee Login(PMP_Talent_common_test_data.csv), Current Task, Review Period; Performace Doc, TC08_Employee_Provide_Final_Feedback_on_Annual_Performance_Review_Document.robot
PMPTalentTestCase, "td_PMP_TC10_Employee_Creates_Performance_Goals", Employee-Creates Performance Goals, Require Active Performance Document, Employee Login(PMP_Talent_common_test_data.csv), Goal Description; Goal Status; Comments, Review Period; Review Section; Goal Plan; Goal Name; Start Date; End Date, TC10_Employee_Creates_Performance_Goals.robot
PMPTalentTestCase130701, "td_TC117_HR_Assigns_Mid_Year_Performance_Documents", HR Assigns Mid year Performance Documents, Mid year performance document Created, , Setup Maintenance Group;Batch Type;Review Period;Performance Document Name, NA, TC117_HR_Assigns_Mid_Year_Performance_Documents.robot
PMPTalentTestCase, "td_TC124_Manager_Updates_Goals_In_Mid_Year_Document", Manager Check-In, TC121, Manager Login(PMP_Talent_common_test_data.csv); Employee Name(PMP_Talent_common_test_data.csv), Test Comment;Meeting Option, Review Section, TC118_Manager_Check_In.robot
PMPTalentTestCase, "td_TC124_Manager_Updates_Goals_In_Mid_Year_Document", Participant Feedback(Manager requests for Participant feedback), PMP TC124 and Need Performance document active for an employee, , Review Period;Review Section;Action;Message, Not Applicable, TC119_Participant_Feedback_Manager_Requests_For_Participant_Feedback.robot
PMPTalentTestCase, "td_PMP_TC11_Assign_Performance_Documents", Assign Performance documents, Not Applicable, HR Specialist Login(PMP_Talent_common_test_data.csv), Setup Maintenace Group; Batch Type; Review Period;Performance Document Name; Maximum Threads Create for Performance Document, Not Applicable, TC11_Assign_Performance_Documents.robot
PMPTalentTestCase130702, "td_TC124_Manager_Updates_Goals_In_Mid_Year_Document", Participant submits the feedback requested by Manager, TC119_Participant Feedback(Manager requests for Participant feedback);Review Section; Employee Name Used in TC119, , Participant Comment, Not Applicable, TC120_Participant_Feedback_Manager_Requests_For_Participant_Feedback.robot
PMPTalentTestCase, "td_TC124_Manager_Updates_Goals_In_Mid_Year_Document", Participant Feedback(Manager views Participant feedback), PMP TC120 and Need Performance document active for an employee, , Review Period;Review Section, Not Applicable, TC121_Participant_Feedback_Manager_Views_Participant_Feedback.robot
PMPTalentTestCase, "td_TC124_Manager_Updates_Goals_In_Mid_Year_Document", Employee Check-In, PMP_TC118 and  Annual Performance Document should be Active status, Employee Login(PMP_Talent_common_test_data.csv), Review Period; Review Section;Met With Manager;Employee Check in Comments, Not Applicable, TC122_Employee_Check_In.robot
PMPTalentTestCase, "td_TC124_Manager_Updates_Goals_In_Mid_Year_Document", Manager views employee Check-In, PMP_TC122, , Review Period;Review Section, Not Applicable, TC123_Manager_Views_Employee_Check_In.robot
PMPTalentTestCase, "td_TC124_Manager_Updates_Goals_In_Mid_Year_Document", Manager updates goals in mid-year document, PMP TC117 and Need Performance document active for an employee, , Review Period;Review Section;Goal Name;Goal Description;Goal Status;Comments, Not Applicable, TC124_Manager_Updates_Goals_In_Mid_Year_Document.robot
PMPTalentTestCase, "td_TC12_Manager_Creates_Performance_Goals", Manager creates Goals for his direct report, Not Applicable, , Employee Name(PMP_Talent_common_test_data.csv); FY Year; Goal Name; Description; Start Date; Target Completion Date; Status; Comments, Not Applicable, TC12_Manager_Creates_Performance_Goals.robot
PMPTalentTestCase, "td_TC13_Employee_Edit_Performance_Goals", Performance Document Self Evaluation by Employee, TC12 Manager should have already created Performance Goal with name provided, , FY Year; Goal Name; Status; Comments, Not Applicable, TC13_Employee_Edit_Performance_Goals.robot
PMPTalentTestCase, "td_TC14_Manager_Edit_Performance_Goals", Manager edits one of his direct report's Goal, TC12 Manager should have already created Performance Goal with name provided, , FY Year; Goal Name; Status; Comments; Description;Target Completion Date, Not Applicable, TC14_Manager_Edit_Performance_Goals.robot
PMPTalentTestCase, "td_TC15_Manager_Transfer_Performance_Documents", Manager transfers Performance document of his direct report, SME Intervention Needed, Manager Login(PMP_Talent_common_test_data.csv); Manager Name; Person Name(PMP_Talent_common_test_data.csv), Action Menu, Action, TC15_Manager_Transfer_Performance_Documents.robot
PMPTalentTestCase, "td_TC16_Manager_Delete_Performance_Goals", Manager deletes Performance Goals of his direct report, TC12_Manager_Creates_Performance_Goals.robot, Manager Login(PMP_Talent_common_test_data.csv); Manager Name; Person Name(PMP_Talent_common_test_data.csv), Action Menu, Goal Name; FY Year, TC16_Manager_Delete_Performance_Goals.robot
PMPTalentTestCase, "td_TC17_Employee_Delete_Performance_Goals", Employee deletes a Performance Goal, TC12_Manager_Creates_Performance_Goals.robot, Employee Login(PMP_Talent_common_test_data.csv), Not Applicable, FY Year; Goal Name, TC17_Employee_Delete_Performance_Goals.robot
BenefitsTestCase, "td_TC801_Contact_Person_Number_To_Identify_Benefit_Contact", Contact Person Number To Identify Benefit Contact, ...            Environment Data:  Login User is environment specific(Benefits_common_test_data.csv), , Person Number(Benefits_common_test_data.csv), Dependent Name, Dependent Person Number, Not Applicable, TC801_Contact_Person_Number_To_Identify_Benefit_Contacts.robot
, "", , , , , , test.robot
, "td_BP001", , , , , , testHCM_BP001.robot
ContractPayableTestCase, "td_CP_01_Sending_contract_payable_record_for_financial_review", , , , , , Unifier_CP_01_Sending_contract_payable_record_for_financial_review.robot
ContractPayableTestCase, "td_CP_02_Creating_record_in_contract_payable_using_autocreation_through_property_contract", , , , , , Unifier_CP_02_Creating_record_in_contract_payable_using_autocreation_through_property_contract.robot
PropertyContractBUTestCase, "td_CRE_TC001_Copy_Property_Contract_record_to_another_property_shell", , , , , , Unifier_CRE_TC001_Copy_Property_Contract_record_to_another_property_shell.robot
OwnedPropertyBUTestCase, "td_TC011_25_Update_a_Property_Contract_and_add_a_new_Line_Item_in_Payment_Setup_with_Overhold", , , , , , Unifier_CRE_TC008_Batch_Upload_Owned_Properties_Records_using_the_MX_CRE_BU_shell.robot
ContractReceivableTestCase, "td_CR_01_Creating_record_in_contract_receivable_using_autocreation_through_property_contract", , , , , , Unifier_CR_01_Creating_record_in_contract_receivable_using_autocreation_through_property_contract.robot
PropertyContractTestCase, "td_E2E1_04_TC006_01_Create_an_Account_Receivable_Lease_type_contract_with_no_line_items", , , , , , Unifier_E2E1_04_TC006_01_Create_an_Account_Receivable_Lease_type_contract_with_no_line_items.robot
PropertyContract, "td_E2E1_05_TC014_00_Add_an_OPEX_Line_item_to_an_existing_Property_Contract", , , , , , Unifier_E2E1_05_TC014_00_Add_an_OPEX_Line_item_to_an_existing_Property_Contract.robot
PropertyContract, "td_E2E1_06_TC024_00_Set_up_critical_dates_Clauses_Insurances_etc", , , , , , Unifier_E2E1_06_TC024_00_Set_up_critical_dates_Clauses_Insurances_etc.robot
PropertyContract, "td_E2E1_07_TC008_00_Create_an_A-P_License_type_contract_with_no_line_items", , , , , , Unifier_E2E1_07_TC008_00_Create_an_A-P_License_type_contract_with_no_line_items.robot
PropertyContract, "td_E2E1_08_TC011_01_Add_a_CAPEX_Line_item_to_an_existing_Property_Contract", , , , , , Unifier_E2E1_08_TC011_01_Add_a_CAPEX_Line_item_to_an_existing_Property_Contract.robot
ContractReceivableTestCase002, "td_Contract_Receivable_test_data", , , , , , Unifier_E2E1_10_TC014.12_Reject_Invoice_Finance_team_rejects_a_Contract_Receivable_(A-R).robot
PropertyContract, "td_E2E1_15_TC014_17_Error_Correction_corrections_are_made_in_Unifier_by_CRE_Reviewer_and_sent_for_Finance_Review_status_changes_to_Pending_Review2", Error Correction - corrections are made in Unifier by CRE Reviewer and sent for Finance Review status changes to Pending_Review, ...            Environment Specific Data:  Login User, Login User, Workspace Name; Contract Receivable Name to be present in Tasks, Not applicable, Unifier_E2E1_15_TC014_17_Error_Correction_corrections_are_made_in_Unifier_by_CRE_Reviewer_and_sent_for_Finance_Review_status_changes_to_Pending_Review2.robot
PropertyContract, "td_E2E1_19_TC014_21_View_Invoice_record_Review_invoice_records_and_confirm_that_status_of_invoices_is_changed_to_Pending_Payment_validate_EBS_Info", Review invoice records and confirm that status of invoices is changed to Pending Payment validate Payment due date and EBS Information (EBS Invoice #, EBS Invoice ID, EBS creation date), Corresponding EBS Invoice #, EBS Creation Date, EBS Invoice ID has to be manually filled in the CSV file, Login User, Workspace Name; Contract Receivable Name with Payment Pending Status, Not applicable, Unifier_E2E1_19_TC014_21_View_Invoice_record_Review_invoice_records_and_confirm_that_status_of_invoices_is_changed_to_Pending_Payment_validate_EBS_Info.robot
UnifierTest345678, "td_Unifier_Test", , , , , , Unifier_FeasibilityTest.robot
LeaseActionTestCase, "td_LA_01_Create_a_lease_action_record", , , , , , Unifier_LA_01_Create_a_lease_action_record.robot
LeaseActionTestCase002, "td_LA_02_Auto_creation_of_Lease_Action_record_using_property_contract", , , , , , Unifier_LA_02_Auto_creation_of_Lease_Action_record_using_property_contract.robot
UnifierNegativeTest, "td_Unifier_Negative_scenarios_test_data", , , , , , Unifier_NS_01_Current_term_expiry_date_cannot_be_earlier_than_current_term_start_date_for_property_contract.robot
UnifierNegativeTest, "td_Unifier_Negative_scenarios_test_data", , , , , , Unifier_NS_02_Current_term_expiry_date_cannot_be_earlier_than_contract_start_date_for_property_contract.robot
UnifierNegativeTest, "td_Unifier_Negative_scenarios_test_data", , , , , , Unifier_NS_03_Payment_end_date_cannot_be_earlier_than_payment_start_date_in_property_contract_line_item_payment_setup.robot
NegativeTestNS04, "td_BP001", , , , , , Unifier_NS_04_Remediation_or_restoration_end_date_cannot_be_earlier_than_remediation_or_restoration_start_date_in_owned_property_line_item_environmental_condition.robot
NegativeTestNS05, "td_BP001", , , , , , Unifier_NS_05_End_date_must_be_equal_to_or_greater_than_start_date_in_owned_property_line_item_property_reservation.robot
VendorIntegration, "td_TC001_02_Verify_Vendors_info_Details_Vendors_Sites_and_Contact_info_in_Unifier_for_any_newly_created_Vendor_in_EBS", Vendor's info (Details Vendor’s Sites and Contact info) in Unifier for any newly created Vendor in EBS, New Vendor has to be created in EBS, Login User, ...            Dynamic Data: Not applicable, Not applicable, Unifier_TC001_02_Verify_Vendors_info_Details_Vendors_Sites_and_Contact_info_in_Unifier_for_any_newly_created_Vendor_in_EBS.robot
VendorIntegration, "td_TC001_03_Verify_Vendor_Header_information_in_Unifier_for_any_newly_created_Vendor_Header_in_EBS", Verify Vendor Header information in Unifier, for any newly created Vendor Header in EBS, New Vendor has to be created in EBS, Login User, ...            Dynamic Data: Not applicable, Not applicable, Unifier_TC001_03_Verify_Vendor_Header_information_in_Unifier_for_any_newly_created_Vendor_Header_in_EBS.robot
VendorIntegration, "td_TC001_06_Verify_Vendor_records_in_Unifier_to_existing_Vendor_record_in_EBS_should_be_updated_in_Unifier_via_interface", Verify Vendor records in Unifier to existing Vendor record in EBS should be updated in Unifier via interface, Add Site Information to an existing Vendor, Login User, ...            Dynamic Data: Not applicable, Not applicable, Unifier_TC001_06_Verify_Vendor_records_in_Unifier_to_existing_Vendor_record_in_EBS_should_be_updated_in_Unifier_via_interface.robot
VendorIntegration, "td_TC001_08_Merged_vendors_are_interfaced_in_Unifier_and_the_status_is_updated", Merged vendors are interfaced in Unifier and the status is updated, Vendors have to be merged , Login User, Vendor ID Vendor Name Vendor Number Merged Vendor ID, Not applicable, Unifier_TC001_08_Merged_vendors_are_interfaced_in_Unifier_and_the_status_is_updated.robot
CustomerIntegrationTestCase, "td_TC002_01_Verify_Customers_info_Details_Customers_Sites_and_Contact_info_in_Unifier_for_any_newly_created_Customer_in_EBS", , , , , , Unifier_TC002.01_Verify_Customers_Info_In_Unifier_for_any_newly_created_customer_in_EBS.robot
CustomerSiteIntegrationTestCase, "td_TC002_03_Verify_customer_records_in_unifier_to_existing_customers_record_in_ebs_should_be_updated_in_unifier", , , , , , Unifier_TC002.03_Verify_Customers_records_in_Unifier_to_existing_customer_record_in_EBS_should_be_updated_in_Unifier_via_Interface.robot
CustomerIntegrationTestCase, "td_Customer_integration_negative_scenarios", , , , , , Unifier_TC002.04_Verify_Customer_record_cannot_be_deleted.robot
CustomerIntegrationTestCase, "td_Customer_integration_negative_scenarios", , , , , , Unifier_TC002.05_Verify_Customer_site_record_cannot_be_deleted.robot
CustomerIntegrationTestCase, "td_Customer_integration_negative_scenarios", , , , , , Unifier_TC002.06_Verify_Customer_record_cannot_be_created.robot
CustomerIntegrationTestCase, "td_Customer_integration_negative_scenarios", , , , , , Unifier_TC002.07_Verify_Customer_site_cannot_be_created.robot
GLIntegration, "td_TC003_01_Verify_Account_Codes_info_in_Unifier_for_any_newly_created_Account_Codes_in_EBS", Verify Account Codes info in Unifier for any newly created Account Codes in EBS, Cost Center Code, Location Code and Account Code has to be created in EBS, Login User,Account Code,Cost Center Code,Location Code, ...            Dynamic Data: Not applicable, Not applicable, Unifier_TC003_01_Verify_Account_Codes_info_in_Unifier_for_any_newly_created_Account_Codes_in_EBS.robot
PropertyContract, "td_TC003_02_Verify_valid_GL_code_combination_is_blank_when_user_selects_the_first_segment_Business_Line_and_second_segment_Cost_Center_of_the_GL_Code", Verify valid GL code combination is blank when user selects the first segment (Business Line) and second segment (Cost Center) of the GL Code, GL Codes to be present in EBS, Login User; Valid Business Line; Valid Cost Center, Property Workspace Name;MX CRE File;Contract Name;Contract Type;Contract Rent Structure;Status;Original Contract Start Date;Current Term Start Date;Current Term Expiry Date;Tenant Entity Type;Landlord Entity Type;Process Rent;Tax Classification;CAPEX-OPEX;, Not applicable, Unifier_TC003_02_Verify_valid_GL_code_combination_is_blank_when_user_selects_the_first_segment_Business_Line_and_second_segment_Cost_Center_of_the_GL_Code.robot
GLIntegration, "td_TC003_05_Verify_GL_Codes_records_in_Unifier_to_existing_Account_Codes_record_in_EBS_record_should_be_updated_in_Unifier_via_interface", Verify GL Codes records in Unifier to existing Account Codes record in EBS record should be updated in Unifier via interface, GL Code to be updated in EBS  GL Code, BL Code, BL ID, BL Description should be updated in CSV file as update in EBS, Login User, ...            Dynamic Data: Not applicable, Not applicable, Unifier_TC003_05_Verify_GL_Codes_records_in_Unifier_to_existing_Account_Codes_record_in_EBS_record_should_be_updated_in_Unifier_via_interface.robot
GLIntegration, "td_TC003_06_Verify_GL_Codes_records_cannot_be_deleted", Verify GL Codes records cannot be deleted, Not Applicable, Login User, Not Applicable, Not applicable, Unifier_TC003_06_Verify_GL_Codes_records_cannot_be_deleted.robot
GLIntegration, "td_TC003_07_Verify_GL_Codes_records_cannot_be_created", Verify GL Codes records cannot be created, Not Applicable, Login User, Not Applicable, Not applicable, Unifier_TC003_07_Verify_GL_Codes_records_cannot_be_created.robot
GLIntegration, "td_TC003_08_Verify_GL_Codes_records_cannot_be_updated", Verify GL Codes records cannot be updated, Not Applicable, Login User, Not Applicable, Not applicable, Unifier_TC003_08_Verify_GL_Codes_records_cannot_be_updated.robot
PropertyContract, "td_TC003_09_Verify_valid_GL_code_combination_is_auto_populated_when_user_selects_the_first_segment_Business_Line_and_second_segment_Cost_Center_of_the_GL_Code", Verify valid GL code combination is auto populated when user selects the first segment (Business Line) and second segment (Cost Center) of the GL Code, GL Codes to be present in EBS, Login User; Valid Business Line; Valid Cost Center, Property Workspace Name;MX CRE File;Contract Name;Contract Type;Contract Rent Structure;Status;Original Contract Start Date;Current Term Start Date;Current Term Expiry Date;Tenant Entity Type;Landlord Entity Type;Process Rent;Tax Classification;CAPEX-OPEX;, Not applicable, Unifier_TC003_09_Verify_valid_GL_code_combination_is_auto_populated_when_user_selects_the_first_segment_Business_Line_and_second_segment_Cost_Center_of_the_GL_Code.robot
OwnedPropertyTest, "td_BP001", , , , , , Unifier_TC005.00_Create_Owned_Properties.robot
OwnedPropertyTest, "td_E2E1_04_TC006_01_Create_an_Account_Receivable_Lease_type_contract_with_no_line_items", , , , , , Unifier_TC005.01_View_And_Update_Owned_Properties.robot
OwnedPropertyTest002, "td_E2E1_04_TC006_01_Create_an_Account_Receivable_Lease_type_contract_with_no_line_items", , , , , , Unifier_TC005.02_Create_a_full_disposition_line_item_within_an_existing_owned_properties.robot
OwnedPropertyTest004, "td_E2E1_04_TC006_01_Create_an_Account_Receivable_Lease_type_contract_with_no_line_items", , , , , , Unifier_TC005.04_Create_a_remediation_line_item_within_an_existing_owned_properties.robot
OwnedPropertyTest006, "td_E2E1_04_TC006_01_Create_an_Account_Receivable_Lease_type_contract_with_no_line_items", , , , , , Unifier_TC005.06_View_and_update_an_owned_properties_line_item_record.robot
PropertyContract, "td_TC006_02_Create_an_Accounts_Receivable_Sublease_type_Lease_contract_with_no_line_items", Create an Accounts Receivable Sublease type Lease contract with no line items, NA, Property Workspace Name;MX CRE File, Contract Name;Contract Type as Lease;Contract Rent Structure;Status;Original Contract Start Date;Current Term Start Date;Current Term Expiry Date;Tenant Entity Type;Landlord Entity Type, Not applicable, Unifier_TC006_02_Create_an_Accounts_Receivable_Sublease_type_Lease_contract_with_no_line_items.robot
PropertyContract, "td_TC006_03_Create_an_A_R_Lease_type_contract_with_a_3rd_Party_Lease_and_is_MX_Owned_with_no_line_items", Create an A/R Lease type contract with a 3rd Party Lease and is MX Owned (with no line items), NA, Property Workspace Name;MX CRE File, Contract Name;Contract Type;Contract Rent Structure;Head Lease or Sublease;MX Owned or Leased;Status;Original Contract Start Date;Current Term Start Date;Current Term Expiry Date;Tenant Entity Type;Landlord Entity Type, Not applicable, Unifier_TC006_03_Create_an_A_R_Lease_type_contract_with_a_3rd_Party_Lease_and_is_MX_Owned_with_no_line_items.robot
PropertyContract, "td_TC008_01_Create_an_A_R_License_type_contract_with_no_line_items", Create an A/R License type contract with no line items, NA, Property Workspace Name;MX CRE File, Contract Name;Contract Type as License;Contract Rent Structure;Status;Original Contract Start Date;Current Term Start Date;Current Term Expiry Date;Tenant Entity Type;Landlord Entity Type, Not applicable, Unifier_TC008_01_Create_an_A_R_License_type_contract_with_no_line_items.robot
PropertyContract, "td_TC010_02_Create_an_A_R_Sublease_Sublicense_Sublease_with_no_line_items", Create an A/R Sublease/Sublicense Sublease with no line items, NA, Property Workspace Name;MX CRE File, Contract Name;Contract Type;Contract Rent Structure;Status;Original Contract Start Date;Current Term Start Date;Current Term Expiry Date;Tenant Entity Type;Landlord Entity Type, Not applicable, Unifier_TC010_02_Create_an_A_R_Sublease_Sublicense_Sublease_with_no_line_items.robot
PropertyContract, "td_TC011_25_Update_a_Property_Contract_and_add_a_new_Line_Item_in_Payment_Setup_with_Overhold", , , , , , Unifier_TC011_25_Update_a_Property_Contract_and_add_a_new_Line_Item_in_Payment_Setup_with_Overhold.robot
PropertyContract, "td_TC011_26_Update_an_existing_Property_Contract_with_an_expiry_3_years_later_and_add_2_OptionCritical_Dates", , , , , , Unifier_TC011_26_Update_an_existing_Property_Contract_with_an_expiry_3_years_later_and_add_2_OptionCritical_Dates.robot
PropertyContract, "td_TC014_11_Validate_Invoice_CRE_team_Validates_the_Invoices_for_Lease_Easement_License_Sublease_Sublicense_Oper_Maint_and_status_changes_to_Pending_Review", Validate Invoice(s) - CRE team Validates the Invoices for Lease, Easement, License, Sublease/Sublicense, Oper/Maint and status changes to "Pending_Review", ...            Environment Specific Data:  Login User, Login User, Workspace Name; Contract Receivable Name to be present in Tasks, Not applicable, Unifier_TC014_11_Validate_Invoice_CRE_team_Validates_the_Invoices_for_Lease_Easement_License_Sublease_Sublicense_Oper_Maint_and_status_changes_to_Pending_Review.robot
BoardOrderTestCase, "td_BP001", , , , , , Unifier_TC017_00_Create_A_Board_Order.robot
Reports, "td_TC025_15_Run_the_Occupancy_Report", Run the Occupancy Report, NA, Login User, Not applicable, Not applicable, Unifier_TC025_15_Run_the_Occupancy_Report.robot
Reports, "td_TC025_16_Run_the_Payment_Variance_Report_A_R", Run the Payment Variance Report A/R, NA, Login User, Not applicable, Not applicable, Unifier_TC025_16_Run_the_Payment_Variance_Report_A_R.robot
Reports, "td_TC025_18_Utility_Bills_Report", Run the Utility Bills Report, NA, Login User, Not applicable, Not applicable, Unifier_TC025_18_Utility_Bills_Report.robot
PropertyTaxInvoice, "td_TC27_00_Create_Property_Tax_Invoice_CAPEX_OPEX", , , , , , Unifier_TC27_00_Create_Property_Tax_Invoice_CAPEX_OPEX.robot
PropertyTaxInvoice, "td_TC27_01_Generate_Property_Tax_Invoice_User_Defined_Report", Generate Property Tax Invoice (User Defined Report), NA, Login User, Vendor Name, Vendor ID, Not applicable, Not applicable, Unifier_TC27_01_Generate_Property_Tax_Invoice_User_Defined_Report.robot
